step,x,y,z
0,2.6260421817587187,2.6260421817587187,1.5
1,2.6027224286935686,2.6553044502285257,1.502787800380135
2,2.5790443265313585,2.6843257662873823,1.5055726450321543
3,2.555010664825354,2.713101458612504,1.5083545112096226
4,2.5306242965641976,2.741626890780431,1.5111333762399806
5,2.50588813771196,2.7698974621522314,1.5139092175248188
6,2.4808051667356072,2.7979086087524236,1.5166820125401486
7,2.4553784241199694,2.825655804141431,1.5194517388366742
8,2.4296110118703114,2.8531345602813927,1.522218374040059
9,2.403506093002583,2.8803404283951513,1.5249818958511934
10,2.3770668910214603,2.907268999818239,1.5277422820464586
11,2.350296689386264,2.9339159068436858,1.53049951047799
12,2.3231988309648655,2.9602768235594787,1.5332535590739367
13,2.2957767174756802,2.9863474666784944,1.5360044058387219
14,2.268033808917851,3.012123596360735,1.5387520288532996
15,2.2399736229897362,3.0376010170277,1.5414964062754088
16,2.2115997344958105,3.0627755781687234,1.5442375163398279
17,2.1829157747420926,3.087643175139104,1.546975337358625
18,2.153925430920215,3.1121997499498764,1.5497098477214089
19,2.124632445480254,3.1364412920490436,1.5524410258955748
20,2.0950406154924446,3.160363839094124,1.555168850426551
21,2.065153791997896,3.183963477715841,1.557893299938043
22,2.0349758793484423,3.2072363442728,1.5606143531322738
23,2.0045108345357447,3.230178625597004,1.5633319887902253
24,1.9737626665097894,3.2527865597300396,1.5660461857718753
25,1.9427354354869004,3.275056436649792,1.5687569230164335
26,1.9114332522474085,3.2969845989875304,1.571464179542577
27,1.8798602774231128,3.318567442735219,1.5741679344486796
28,1.8480207207746717,3.339801417942906,1.5768681669130449
29,1.8159188404590647,3.3606830294060432,1.5795648561941327
30,1.78355894228727,3.3812088373425944,1.5822579816307858
31,1.7509453789723006,3.4013754580597952,1.5849475226424545
32,1.7180825493677478,3.4211795646104153,1.5876334587294185
33,1.68497489769698,3.4406178874384015,1.590315769473008
34,1.65162691277315,3.4596872150137505,1.5929944345358207
35,1.6180431272101614,3.4783843944564925,1.59566943366194
36,1.5842281166247512,3.4967063321496465,1.5983407466771482
37,1.5501864988298457,3.514649994341024,1.6010083534891397
